id_tweet,texto_tweet,texto_limpo,cluster,tsne_x,tsne_y
1969480635078029651,"Espero q todos casais felizes e melosos morram 
(Vê-los me deixa com nojo e depressão)",espero todos casais felizes melosos morram vêlos deixa nojo depressão,1,16.098732,22.93604
1969480573371441286,A depressão vai me consumir,depressão vai consumir,1,14.099766,20.198116
1969480215794450842,@Dc_da_depressao Esse personagem deve ser o caçador de marte,personagem deve caçador marte,1,19.182299,-3.2225251
1969479980489875665,eu literalmente tenho depressao https://t.co/D7XPmpolIf,literalmente depressao,1,0.032935802,29.254677
1969479940765597994,@ChallengerMel só uma dessas e a depressão do mundo acabava,dessas depressão mundo acabava,1,13.933684,24.475128
1969479876479525247,Daí chega na hora de pagar o cartão eu entro em depressao 🤪🤪🤪,daí chega hora pagar cartão entro depressao,1,0.35285854,32.736324
1969479862017548423,@junofnsc pior quando você quer direto da fonte e vem aquele gosto artificial junto com gosto de borracha pqp causa até depressão,pior quer direto fonte vem gosto artificial junto gosto borracha pqp causa depressão,1,18.896633,22.330664
1969479739778744803,se a bia soubesse como os tweets dela curam minha depressao,bia soubesse tweets curam depressao,1,-0.13471349,29.744236
1969479344083849461,"@madeinbajor Com essa mentalidade ai, já já você volta de novo pra depressão. 

Tempo não volta filha, levanta e faz o que dá e como dá porque o tempo vai continuar a passar.",mentalidade volta novo pra depressão tempo volta filha levanta faz porque tempo vai continuar passar,1,5.5331683,5.016539
1969479218573488488,Eu odeio a depressão. Eu odeio ter depressão. Eu odeio ser depressiva. Eu odeio ter crises depressivas.,odeio depressão odeio ter depressão odeio depressiva odeio ter crises depressivas,1,-24.697544,3.9235709
1969479013694394588,"Ultimamente eu exalo egocentrismo, toxicidade e depressão.",ultimamente exalo egocentrismo toxicidade depressão,1,14.261621,20.973104
1969478927463612686,@julialubas Estou em depressão por causa disso amiga 😔,depressão causa disso amiga,1,13.793372,25.145134
1969478868730794417,a dib deve tá com depressao já gente vamo para,dib deve depressao gente vamo,1,0.13926129,31.188288
1969478738883514456,treino de perna causa depressão,treino perna causa depressão,1,13.819999,24.978867
1969478713717743746,A depressão é uma borboleta azul,depressão borboleta azul,1,14.261621,20.973104
1969478548579569849,"assistindo os vídeos de ontem, meu deus q depressão, queria viver naquele momento",assistindo vídeos ontem deus depressão queria viver naquele momento,1,15.091709,18.030748
1969478431441137942,Eu quando tô com depressão e me sentindo a mais feia do universo e tenho que ir trabalhar https://t.co/bDiv2L1bEd,depressão sentindo feia universo trabalhar,1,10.892153,22.313133
1969478286397808920,Peguei depressão hj,peguei depressão,1,14.261577,20.973053
1969478238469488847,"@Dc_da_depressao Pior que esse é o tipo de piada do Batman, e eu sempre acho engraçado esse Batman do Patrison ser marrento é muito foda",pior tipo piada batman sempre acho engraçado batman patrison marrento foda,1,15.851912,-0.22881277
1969478229888025048,"demet, por favor, eu tenho depressão 😭 https://t.co/mIJl6IhrVN",demet favor depressão,1,11.32459,19.760965
1969478118495691051,@Dc_da_depressao será se essa terra vai ter ligação com superman? eu só consegui focar no kaiju na televisão,terra vai ter ligação superman consegui focar kaiju televisão,1,5.3314905,-8.844215
1969477656539217934,esse video foi postado no dia do meu anv foi um presente de deus pra me dar depressao https://t.co/bm3SP1Bi4A,video postado dia anv presente deus pra dar depressao,1,-2.0547736,32.15597
1969477626914877902,Mano se eu n sair hoje pra viçar c as prechekudas eu vou entrar em depressao profunda,mano sair hoje pra viçar prechekudas vou entrar depressao profunda,1,2.1658213,31.585869
1969477609458118902,"@carloshmmiranda @Eduflario @ItaloMarsinho E tu acha que sobrepeso vem só da comida em excesso? Vem da falta de exercício, cachaça, alimentação carregada de gordura como frituras, DEPRESSÃO e várias merdas. Desnutrição é o extremo FINAL da pobreza, não significa que esses aí não sejam pobres.",acha sobrepeso vem comida excesso vem falta exercício cachaça alimentação carregada gordura frituras depressão várias merdas desnutrição extremo final pobreza significa pobres,1,9.040754,1.8574127
1969477589396783244,"Pegar metrô fds pra ir trabalhar, da até uma depressão, todo mundo indo a praia.",pegar metrô fds pra trabalhar depressão todo mundo indo praia,1,14.431401,13.614059
1969477554764407081,Ainda bem que vamos sair depressão tá batendo,ainda bem vamos sair depressão batendo,1,14.1118965,16.53136
1969477471075480017,"@xanapopositox ""depressão? com esses peitão?""

já ouvi gente falando isso não ironicamente",depressão peitão ouvi gente falando ironicamente,1,16.595837,15.76088
1969477368440873034,@Rickf0rdy @pabllovittar Mds que depressao que vou perder o melhor ano da spring 😭😭,mds depressao vou perder melhor ano spring,1,1.4308983,27.917608
1969477364665966968,"To com depressao 
Atras da minha casa tem uma eestacao de trem e um rio
Eu n sei nadar 
Se n me matei ainda n me mato mais",depressao atras casa eestacao trem rio sei nadar matei ainda mato,1,0.9827731,30.198328
1969477145287102545,batalhando com a depressão,batalhando depressão,1,14.261577,20.973053
1969477061547835457,São 16h parece que já são 18h... que depressão esse frio,parece depressão frio,1,15.9402075,19.750084
1969476953796133256,desanimei e agora to c depressão https://t.co/4jNPTmGfgZ,desanimei agora depressão,1,13.37988,22.906048
1969476588472263031,@lancenet Pra mim ele está com depressão.,pra mim depressão,1,13.598316,20.93454
1969476551650459681,a depressão pós um dia muito bom existe,depressão pós dia bom existe,1,-8.152233,29.88257
1969476467747680259,@rickdelcat Eu tive crise de ansiedade e princípio de depressão amg 😭😭,crise ansiedade princípio depressão amg,1,11.673472,18.074598
1969476413913727069,@Dc_da_depressao @PuckNews A que ponto chegamos..,ponto chegamos,1,0.6977873,26.948175
1969476410608689662,chanel seu teste deu positivo pra tpas tdi anorexia bulimia tpn disfunção erétil depressão ansiedade esquizofrenia placa bucal mal de parkinson alzheimer candidíase síndrome de estocolmo e tourette https://t.co/ddWAByt3Nv,chanel teste deu positivo pra tpas tdi anorexia bulimia tpn disfunção erétil depressão ansiedade esquizofrenia placa bucal mal parkinson alzheimer candidíase síndrome estocolmo tourette,1,11.718573,18.550016
1969476283248553989,"@diariodalore Eu nem consigo imaginar isso, mas tenho um colega que -- mesmo com família formada -- entrou em um depressão maluca por estar longe da sua terra. Para mim, o normal era ir para longe mesmo. Foi o que meus próprios pais fizeram. Eu me sentiria estranho ficando perto.",consigo imaginar colega família formada entrou depressão maluca longe terra mim normal longe próprios pais fizeram sentiria estranho ficando perto,1,26.629509,12.903399
1969476160393245165,"Perdão meu amigo @Miltonneves  mas a Biane cuja postagem compartilha-se recentemente pedindo ajuda para seus gatinhos,  faleceu  no inicio deste ano, vitimada pelo que me consta por depressão.",perdão amigo biane cuja postagem compartilhase recentemente pedindo ajuda gatinhos faleceu inicio deste ano vitimada consta depressão,1,14.215967,15.02873
1969476142072500379,Vontade de escrever um roteiro sobre a minha depressão... Talvez me ajude a lidar com ela,vontade escrever roteiro sobre depressão talvez ajude lidar,1,8.000931,7.512466
1969476017140994139,@Dc_da_depressao essa frase na voz do Wendel foi muito Sanji,frase voz wendel sanji,1,4.9098673,12.018482
1969475865843994895,A mulher do meu sobrinho com depressão e a familia crente incentivando ela ir pra igreja ao invés de buscar ajuda médica 🗣️,mulher sobrinho depressão familia crente incentivando pra igreja invés buscar ajuda médica,1,14.767654,15.185745
1969475843664585080,quando ela fala que ele ter desligado o telefone foi a escolha que ele tomou OLHA ESTOU com depressão https://t.co/suGr5UFDhM,fala ter desligado telefone escolha tomou olha depressão,1,20.453362,24.202227
1969475800320635065,"@TumultoBR mpb é bravo demais
Causa diarréia e depressão",mpb bravo demais causa diarréia depressão,1,13.78084,25.017632
1969475583202492526,"THATS WHAT IM TALKIBG ABOUT

se gojo voltar eu dropo jjk (nao droparei, mas entrarei em depressao profunda c o gege) https://t.co/UphxwuL1Xz",thats what talkibg about gojo voltar dropo jjk nao droparei entrarei depressao profunda gege,1,1.1542414,30.933628
1969475571865252209,Querem deixar os outros tristes tb sai pra la nunca mais entro em depressao na minha vida,querem deixar outros tristes sai pra nunca entro depressao vida,1,2.0060017,25.569881
1969475250288025951,@akathymaravilha Não existe depressão qnd o assunto é #Afazenda 🤣,existe depressão qnd assunto afazenda,1,15.86899,24.736315
1969475081718858188,acabando o hsl e to cm depressao 💔,acabando hsl depressao,1,-0.13471349,29.744236
1969474871462695211,A depressão pode ser invisível.,depressão pode invisível,1,15.068479,20.80478
1969474741015585064,Tiraram foto minha pegando meu corpo na imagem e agora estou com depressao,tiraram foto pegando corpo imagem agora depressao,1,0.94489384,28.851828
1969474668449927621,a diferença entre o performar e o fingir é a depressao,diferença performar fingir depressao,1,-1.2056923,29.202148
1969474593359356386,"@O_Dougl4s Vou falar três 

Todos os mlk tem depressão e problemas com os pais, e o mlk depressivo mora junto de uma Alcoolatra gostosa

VAMPIRÃO FODA COM DUAS PISTOLAS FODAS METENDO BALAS FODAS 💯💯💯🔥🔥🔥🔥🔥🔥

Come os outros pra ganhar habilidades deles",vou falar três todos mlk depressão problemas pais mlk depressivo mora junto alcoolatra gostosa vampirão foda duas pistolas fodas metendo balas fodas come outros pra ganhar habilidades,1,18.071075,15.743568
1969474512790958480,depressão pós show mais esperado do ano,depressão pós show esperado ano,1,-8.1193075,30.46861
1969474432742662545,tô com depressão https://t.co/eRxDsLbaMR,depressão,1,14.261621,20.973104
1969474395711164608,@mjjwchild Fiquei assim quando ela disse que tinha depressão 🥹,fiquei assim disse depressão,1,14.990083,19.437277
1969474394113134999,odeio ser uma filha tão ausente pro meu orientador mas é que eu tenho # depressao debilitante,odeio filha tão ausente pro orientador depressao debilitante,1,-2.0885322,28.088549
1969460878454968394,@16098_cas voce tem depressao?,voce depressao,1,-0.54793173,29.211546
1969474131998495217,O show foi ladinho do meu trabalho entao eu vi o processo todinho de montagem durante dias agr passar e ver o palco ali e saber q ja acabou tá me dando depressão volta anavitoriaaaaaaa https://t.co/8z8KGV0T6g,show ladinho trabalho entao processo todinho montagem durante dias agr passar ver palco ali saber acabou dando depressão volta anavitoriaaaaaaa,1,18.898165,16.807932
1969473755320652111,"sera que estou com depressao ou é só tpm
volto daqui 7 dias e confirmo",sera depressao tpm volto daqui dias confirmo,1,-0.29689926,31.66243
1969473735221559401,@levisback Ele literalmente fala q homens foram ensinados a nunca falar sobre seus problemas e isso leva a depressão e logo suicídio. Se o cara se acha inútil e isso leva ao suicídio tu vai me dizer q isso n poderia ter sido evitado se ele tivesse procurado ajuda?,literalmente fala homens ensinados nunca falar sobre problemas leva depressão logo suicídio cara acha inútil leva suicídio vai dizer poderia ter sido evitado procurado ajuda,1,16.684502,-23.351114
1969473684717916561,nao tenho nem nunca tive depressao amo viver https://t.co/NFUugwBYwv https://t.co/qBEnWTwtRo,nao nunca depressao amo viver,1,-0.98581374,28.61949
1969473528597553558,A depressão pós show veio…,depressão pós show veio,1,-8.127094,30.44461
1969473517805584600,@whimsic__ tem tpas tpn anorexia sindrome de estocolmo ansiedade depressao autismo tdah disfunção erétil sindrome de tourete tdi placa bucal,tpas tpn anorexia sindrome estocolmo ansiedade depressao autismo tdah disfunção erétil sindrome tourete tdi placa bucal,1,0.3158278,29.354029
1969473158194270325,"Acho q sei pq tô com esse tesão sem limites, querendo siriricar 10x por dia… é a depressão! 😂🥲",acho sei tesão limites querendo siriricar dia depressão,1,10.800918,20.924023
1969473157254799523,@clarissblck depressao severa,depressao severa,1,-0.13471349,29.744236
1969472935615221791,A depressao se cura com peitos e n com remedios,depressao cura peitos remedios,1,2.1228611,30.004873
1969472878853661175,@jhenihazevedo Tenho certeza q a cura da depressao n é sertralina,certeza cura depressao sertralina,1,2.142461,30.017305
1969472741305647483,"Tanto casal ao meu redor e eu nada pqp n sobra nada msm, q depressao do carai",tanto casal redor nada pqp sobra nada msm depressao carai,1,8.092392,-5.2132745
1969472717884699100,"@falinkisser SIM
Me irrita que depois ficam ""ah mas ninguém me ama"" ""ah mas ninguém me quer"" 
Literalmente a culpa é da pessoa que fica nesse ciclo de querer namorar depois de um término recente, aí acaba pegando depressão e não sabe porque, esse negócio não faz nem um pouco bem",sim irrita ficam ninguém ama ninguém quer literalmente culpa pessoa fica nesse ciclo querer namorar término recente acaba pegando depressão sabe porque negócio faz pouco bem,1,6.6765437,11.729331
1969472682509910273,Read “Depressão e Cuidado Integral“ by Joás Inácio on Medium: https://t.co/nRPa1ULl2N,read depressão cuidado integral joás inácio medium,1,14.261577,20.973053
1969472681650147351,"@carlitoedu05 não entendi a risada? eu tenho depressão sabia 

https://t.co/I8VCxg5jUi",entendi risada depressão sabia,1,17.204147,17.853199
1969472556097822860,@gozovinho foi a depressao,depressao,1,-0.13471349,29.744236
1969472445842096274,"@ThomasSuspenso2 Esse tipo de gente depois não sabe porque pega depressão quando começam a ficar nesse ciclo de ficar indo namorar alguém depois de um término depois de UM DIA, esse negócio não faz bem nem um pouco",tipo gente sabe porque pega depressão começam ficar nesse ciclo ficar indo namorar alguém término dia negócio faz bem pouco,1,6.6342945,11.682095
1969472389395223006,"@MassaInformada @LucasTanaka Perdeu peso deve ser de depressão e sofrimento, pelas besteiras que faz recorrente",perdeu peso deve depressão sofrimento besteiras faz recorrente,1,19.670109,-2.5430374
1969472272684454279,@lilvinicinho Você é necessário!! Dps dessa foto eu me curei da depressão obrigado,necessário dps dessa foto curei depressão obrigado,1,18.833185,23.666332
1969472126911418711,Eu n estar em um piscina dessas é a causa da minha depressão hj https://t.co/0Cj9DjkGK9,piscina dessas causa depressão,1,13.901781,24.6621
1969472041532187114,"CABEÇA, vozes da minha. Loucura, desespero, paranóias e depressão. República Federativa do Brasil, Brasília, DF, 20 de setembro de 2025.",cabeça vozes loucura desespero paranóias depressão república federativa brasil brasília setembro,1,16.553883,18.710653
1969471892445687853,to com depressão https://t.co/WbbuXzxd59,depressão,1,14.261577,20.973053
1969471761889505548,Eu sou o Tatta com a depressão do Arisu,tatta depressão arisu,1,14.261577,20.973053
1969471625037848651,"@emorraginterna ""Que depressão o que mina tu é mo bonita
So fica nesses papo ai de ler niti schopenhauuuu""",depressão mina bonita fica nesses papo ler niti schopenhauuuu,1,6.6892056,-7.277147
1969471547229270141,em revamp vou sofrer de tanto chorar depressão e em Khemjira vou sorrir ah entendi meus sábados são tão animados 🥹,revamp vou sofrer tanto chorar depressão khemjira vou sorrir entendi sábados tão animados,1,11.254416,-13.941521
1969471358250729800,essa trend me deu depressão https://t.co/n1A7WD0PIy,trend deu depressão,1,11.920062,19.339842
1969471346859020622,"@MafinhaBarba A opressão por depressão destrói qualquer mente em progresso a natalidade. Basta observar a taxa de natalidade pós segunda guerra (baby boom).

Você pode ter uma guerra ideológica no ocidente ou mesmo doutrinal na Coreia, com mesmos efeitos.

No interior da comunidade que reside",opressão depressão destrói qualquer mente progresso natalidade basta observar taxa natalidade pós segunda guerra baby boom pode ter guerra ideológica ocidente doutrinal coreia mesmos efeitos interior comunidade reside,1,8.0106,15.497292
1969471321382723691,"É gente, a depressão pós Katy chegou 
🥹😭",gente depressão pós katy chegou,1,-8.250607,29.951807
1969470933115994266,"@igormirandasite Esse álbum foi uma despedida pros fãs do Renato. Cada música fala de temas totalmente pertinentes pra se falar aos jovens: HIV, depressão, amor à família (ele cita pai e irmã) trabalho, amor, juventude, empoderamento feminino (mães solo), esperança na força da juventude…
É lindo",álbum despedida pros fãs renato cada música fala temas totalmente pertinentes pra falar jovens hiv depressão amor família cita pai irmã trabalho amor juventude empoderamento feminino mães solo esperança força juventude lindo,1,25.226175,10.794681
1969470930519797835,"@MTips01 Quebrei, depressão dms",quebrei depressão dms,1,14.629472,22.231335
1969470912975061191,@taesandalia que depressao oq ele ja superou isso,depressao superou,1,-0.13471349,29.744236
1969470877231194174,"Pego depressão todas as vezes que um Uber não liga o ar condicionado, vim trabalhar de camisa preta quase morri",pego depressão todas vezes uber liga condicionado vim trabalhar camisa preta quase morri,1,5.63639,-5.917215
1969470851016790289,"cs brasileiro cura a depressão 
nao tem remédio melhor q esse
segue a dica",brasileiro cura depressão nao remédio melhor segue dica,1,12.423109,26.649408
1969470833270608356,@Dc_da_depressao Ele vai tá na CCXP ou algum evento desses né?,vai ccxp algum evento desses,1,-16.766504,21.598244
1969470777251516539,"@wwwmlna @acynthiaandrade Que texto lindo,  que relação bonita. Também perdi meu único irmão,  mas n éramos próximos,  mas mesmo assim é uma dor absurda, e ver o sofrimento dos meus pais foi triste demais. Acabei tendo uma forte depressão e foi muito difícil superar.",texto lindo relação bonita perdi único irmão próximos assim dor absurda ver sofrimento pais triste demais acabei tendo forte depressão difícil superar,1,20.42777,18.79122
1969470577896231350,"Dor, depressão, raiva, ódio meus krailertnaran nãoooooo

#ShineFinalEP https://t.co/owbc9PFATl",dor depressão raiva ódio krailertnaran nãoooooo shinefinalep,1,19.458004,20.30557
1969470519972905006,agr toda a depressão do tyler faz mais sentido. https://t.co/PGUZvJHtBK,agr toda depressão tyler faz sentido,1,12.528351,19.867537
1969470497495601430,"To me sentindo mais descartável do que nunca, mesmo com ela nos braços. 
Ela é tão linda, só consigo chorar vendo.
Acho q a depressão e a ansiedade só vão piorar, e fico triste por isso estar acontecendo com minha filha presente.",sentindo descartável nunca braços tão linda consigo chorar vendo acho depressão ansiedade vão piorar fico triste acontecendo filha presente,1,9.103564,16.220264
1969470244558196899,"Fiz a última prova do trimestre ontem e agora (e já passei para o próximo) mas agora eu não quero saber de depressão, coisas tristes e bla bla (eu com hora complementar pra fazer) QUEM INVENTOU ISSO, ODEIA OS UNIVERSITÁRIOS. 😪 https://t.co/Khk38o1q05",fiz última prova trimestre ontem agora passei próximo agora quero saber depressão coisas tristes bla bla hora complementar pra fazer inventou odeia universitários,1,13.842323,28.356268
1969470244142920064,@Dc_da_depressao Eu sou a vingança...,vingança,1,6.1858125,3.2384984
1969470144058417430,"🚛 Jornada exaustiva e solidão afetam saúde mental de caminhoneiros

Especialistas alertam para riscos de ansiedade, depressão e estresse

https://t.co/qXG78fU44D",jornada exaustiva solidão afetam saúde mental caminhoneiros especialistas alertam riscos ansiedade depressão estresse,1,4.3078456,26.775524
1969470007617724653,Aiai mo depressão do krl tmnc,aiai depressão krl tmnc,1,14.261621,20.973104
1969469346423382125,li tanta desmotivação sobre os votos do jiahao e o peso quádruplo dos votos kr que já tô entrando em depressão e ficando sem esperança https://t.co/GiyFIzW7kh,tanta desmotivação sobre votos jiahao peso quádruplo votos entrando depressão ficando esperança,1,6.3330665,5.3701425
1969469201300558151,@ldssmay tesao e depressão,tesao depressão,1,14.261577,20.973053
1969469192463065461,"@laurardornas @milecula @francis_marra Quando eu estava no pior momento da minha depressão tentando suicídio era igualzinho, isso aí não significa literalmente nada. 👍🏻",pior momento depressão tentando suicídio igualzinho significa literalmente nada,1,4.52889,2.8024473
1969456856486572040,O Benfica tira me anos de vida…. Que depressão,benfica tira anos vida depressão,1,11.840579,20.88529
1969456921397649644,"Achei que conseguiria isso também, mas passei mais da metade da vida lutando contra depressão, ansiedade  e perda repentina do meu pai que nada disso veio e ainda de bônus minha profissão tá morrendo 🫠
Ai me perguntam pq vivo em shows. Se eu não fizer isso não vivo.💁‍♀️ https://t.co/bVBMf9fklu",achei conseguiria passei metade vida lutando contra depressão ansiedade perda repentina pai nada disso veio ainda bônus profissão morrendo perguntam vivo shows fizer vivo,1,10.831971,-1.5042251
1969456923817709865,"Melhor dieta q tem: depressão, emagrece rapidão, coisa boa",melhor dieta depressão emagrece rapidão coisa boa,1,13.439843,18.37202
1969456971792191755,"@peleasclub Meu Deus, que herói. Parabéns camarada. Deus abençoe grandemente e que a Sra se recupere da depressão.",deus herói parabéns camarada deus abençoe grandemente sra recupere depressão,1,15.24999,18.14327
1969456991723458838,"não sei se to com cara de deprimida, mas a mãe da minha inquilina me chamou pra ir na igreja pq amanhã vai ter um encontro para pessoas com depressão",sei cara deprimida mãe inquilina chamou pra igreja amanhã vai ter encontro pessoas depressão,1,7.193714,2.8358247
1969457036501869051,@rivotrilpodre Estou em depressão profunda por botarem esse assunto na tl,depressão profunda botarem assunto,1,16.629662,25.256237
1969457093859024932,mds tô em depressão por ter perdido um anel que eu gosto tanto 😭😭😭😭😭😭😭😭😭😔😔😔😔,mds depressão ter perdido anel gosto tanto,1,18.539064,22.139048
